"Handle","Title","Description","SEO Title","SEO Description","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","SKU","Quantity","Regular Price","Sale Price","Cost","Images","Variant Image","Status","Collections","URL","Tax","Created","Updated","Length","Width","Height","Weight"
"Asymmetric-Dome-stainless-steel-Ring","Asymmetric Dome Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","Asymmetric Dome Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",4,"140","","","https://assets.wuiltstore.com/cmmdcs3ed0f2v01dfgtcle21k_jt762gmifni5nfddlod8va0cihfk.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Asymmetric-Dome-stainless-steel-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-11T04:12:08.138Z","","","",""
"Bold-Dome-stainless-steel-silver-Ring","Bold Dome Stainless Steel Silver Ring","<li>Stainless steel&nbsp;</li>","Bold Dome Stainless Steel Silver Ring","Premium jewelry piece.",,,,,,,"",5,"185","140","","https://assets.wuiltstore.com/cmmdcs1720f2t01dfednfdrkq_5s4455cw2frvi6o8k7nnu578qzai.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Bold-Dome-stainless-steel-silver-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-11T04:11:51.160Z","","","",""
"Tree-leaves-stainless-steel-ring---silver","Tree Leaves Stainless Steel Ring   Silver","<li>Stainless steel&nbsp;</li>","Tree Leaves Stainless Steel Ring   Silver","Premium jewelry piece.",,,,,,,"",0,"185","150","","https://assets.wuiltstore.com/cmmdcsiiv0f3701dfhwe7h756_30mtgkuwmebapoknop9zbrynba48.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Tree-leaves-stainless-steel-ring---silver","Global","2026-03-06T15:45:35.309Z","2026-05-11T03:44:21.951Z","","","",""
"Crystal-fancy-stainless-steel-hand-chain-","Crystal Fancy Stainless Steel Hand Chain","</ul>","Crystal Fancy Stainless Steel Hand Chain/ gold","Premium jewelry piece.",,,,,,,"",7,"400","","","https://assets.wuiltstore.com/cmp08tyup01vl01p32xxa521h_IMG_5807.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/Crystal-fancy-stainless-steel-hand-chain-","Global","2026-03-06T15:45:35.309Z","2026-05-10T23:46:39.827Z","","","",""
"Olive-Branch-stainless-steel-Ring","Olive Branch Stainless Steel Ring","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","Olive Branch Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",0,"110","","","https://assets.wuiltstore.com/cmmdcsbb40f3101df3whv6dq1_v3dbr1nh1bq89c658yudo69v6mg5.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Olive-Branch-stainless-steel-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-10T19:51:11.797Z","","","",""
"y-gold-colorful-charms-necklace","Y gold colorful charms , necklace","<p>The necklace is Stainless steel and the charm is gold plated&nbsp;</p>
<p>the length of the necklace 40 cm with 5 cm extension&nbsp;</p>","Y gold colorful charms , necklace","","color","silver",,,,,"",4,"400","280","","https://assets.wuiltstore.com/cmoy9mliu0eun01ln4h432k9s_IMG_6728.webp","","ACTIVE","","https://salmabehery.com/en/product/all/y-gold-colorful-charms-necklace","Global","2026-05-04T16:05:12.701Z","2026-05-10T19:50:44.483Z","","","",""
"y-gold-colorful-charms-necklace",,,,,"color","gold",,,,,"",4,"400","280","","","","","","https://salmabehery.com/en/product/all/y-gold-colorful-charms-necklace","",,,"","","",""
"Textured-Pearl-Band-stainless-steel-ring","Textured Pearl Band Stainless Steel Ring","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","Textured Pearl Band Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",4,"150","","","https://assets.wuiltstore.com/cmmdclklr0ey701dfep2a00so_1cunmp4oh9f9qfh7xokohxrx4mr3.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Textured-Pearl-Band-stainless-steel-ring","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:38:08.924Z","","","",""
"5-round-see-stars-stainless-steel-ring-","5 Round See Stars Stainless Steel Ring","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","5 Round See Stars Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",3,"150","120","","https://assets.wuiltstore.com/cmmdchp5q0evg01dfadn70c6f_ia3c3rimfxl23q5m4666avg3dtnf.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/5-round-see-stars-stainless-steel-ring-","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:37:02.128Z","","","",""
"Crown-stainless-steel-silver","Crown Stainless Steel Silver","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","Crown Stainless Steel Silver","Premium jewelry piece.",,,,,,,"",0,"155","120","","https://assets.wuiltstore.com/cmmdcrmlq0f2j01df1j5l0mx4_p5d4zfdq37nam51ktxa0bne4acqv.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Crown-stainless-steel-silver","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:36:41.837Z","","","",""
"Sun-stainless-steel-ring","Sun Stainless Steel Ring","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","Sun Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",2,"220","150","","https://assets.wuiltstore.com/cmmdcxbm30f6b01df54nqa3qv_vuaks38ceph9pwwmjl0y6oxba14b.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Sun-stainless-steel-ring","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:35:45.164Z","","","",""
"Crown-stainless-steel-ring---gold-","Crown Stainless Steel Ring   Gold","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","Crown Stainless Steel Ring   Gold","Premium jewelry piece.",,,,,,,"",2,"155","100","","https://assets.wuiltstore.com/cmmdcssmg0f3f01dfd1m37dx7_n90terapyll8ngfdemqm58akjukj.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Crown-stainless-steel-ring---gold-","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:35:21.086Z","","","",""
"Crab-and-star-stainless-steel-ring-","Crab And Star Stainless Steel Ring","<p>stainless steel</p>
<p>free size</p>","Crab And Star Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",5,"150","100","","https://assets.wuiltstore.com/cmmdcmd1b0eyx01df15c00ysd_p11s05n4qf6a4ylpecfpe1h1ywle.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Crab-and-star-stainless-steel-ring-","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:35:02.018Z","","","",""
"Double-Feather-stainless-Ring","Double Feather Stainless Ring","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","Double Feather Stainless Ring","Premium jewelry piece.",,,,,,,"",1,"150","100","","https://assets.wuiltstore.com/cmmdcs8gn0f2z01df2mdn3zmw_06cv96lzva3bepwkstjkbz9dvcix.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Double-Feather-stainless-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:34:47.386Z","","","",""
"Floral-Band-stainless-steel-Ring--silver","Floral Band Stainless Steel Ring  Silver","<ul>
<li>Stainless steel&nbsp;</li>
<li>free size</li>
</ul>","Floral Band Stainless Steel Ring  Silver","Premium jewelry piece.",,,,,,,"",5,"150","100","","https://assets.wuiltstore.com/cmmdcsg570f3501dfcadtfurs_6ozyatop1zjwolfjoxy93iu9dg5f.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Floral-Band-stainless-steel-Ring--silver","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:33:52.569Z","","","",""
"Melting-Heart-stainless-steel-Ring","Melting Heart Stainless Steel Ring","<ul>
<li>Stainless steel</li>
<li>free size</li>
</ul>","Melting Heart Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",1,"150","100","","https://assets.wuiltstore.com/cmmdclp7u0eyb01df2et47gnd_88g7xikau0mz3qgdmfs744l310q5.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Melting-Heart-stainless-steel-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-09T23:33:37.458Z","","","",""
"Big-chunky-bangle--silver-","Big Chunky Bangle  Silver","<div>gold plated.</div>","Big Chunky Bangle  Silver","Premium jewelry piece.",,,,,,,"",3,"250","180","","https://assets.wuiltstore.com/cmmdcwgek0f5r01dfe693f34w_kp5pz2nzdtfftdae3ohg9ek1qtdf.webp","","ACTIVE","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Big-chunky-bangle--silver-","Global","2026-03-06T15:45:35.309Z","2026-05-09T22:16:31.605Z","","","",""
"Chunky-bangle--gold-","Chunky Bangle  Gold","<div>gold plated.</div>","Chunky Bangle  Gold","Premium jewelry piece.",,,,,,,"",2,"250","180","","https://assets.wuiltstore.com/cmmdcx0ac0f6301dfdlxp85d6_kek6qhw82nma1qktmq9s558npkdy.webp","","ACTIVE","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Chunky-bangle--gold-","Global","2026-03-06T15:45:35.309Z","2026-05-09T22:16:02.650Z","","","",""
"Medium-chunky-bangle--silver-","Medium Chunky Bangle  Silver","<p>gold plated</p>","Medium Chunky Bangle  Silver","Premium jewelry piece.",,,,,,,"",0,"250","180","","https://assets.wuiltstore.com/cmmdcwnou0f5v01df0jzd6qz1_nq4rs1c7r4v66t8i3p3yjg3son7y.webp","","ACTIVE","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Medium-chunky-bangle--silver-","Global","2026-03-06T15:45:35.309Z","2026-05-09T22:15:17.094Z","","","",""
"modern-silver-stainless-ring","modern silver stainless ring","<p>stainless steel&nbsp;</p>
<p>free size</p>
<p>&nbsp;</p>","modern silver stainless ring","",,,,,,,"",5,"150","100","","https://assets.wuiltstore.com/cmms7qsxc01jr01krfoakafve_IMG_3412_5B1_5D.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/modern-silver-stainless-ring","Global","2026-03-15T23:34:40.683Z","2026-05-09T22:14:08.613Z","","","",""
"Ancient-Egyptian-stainless-steel-necklace-","Ancient Egyptian Stainless Steel Necklace","<li>Stainless steel&nbsp;</li>","Ancient Egyptian Stainless Steel Necklace","Premium jewelry piece.",,,,,,,"",3,"250","150","","https://assets.wuiltstore.com/cmmdcn33i0ezf01dfecpgbq1c_7hjkhup0hlph6fb1y0ml164449ws.webp","","ACTIVE","Jewelry,Necklace","https://salmabehery.com/en/product/all/Ancient-Egyptian-stainless-steel-necklace-","Global","2026-03-06T15:45:35.309Z","2026-05-09T22:13:24.486Z","","","",""
"Africa--Egyptian-necklace-","Africa  Egyptian Necklace","<p>the lenght of the necklace 40 cm with 5 cm extension</p>","Africa  Egyptian Necklace","Premium jewelry piece.",,,,,,,"",5,"250","150","","https://assets.wuiltstore.com/cmmdcgbnv0eum01dfg0zpb8s8_i4ksotd6gl5iv6cq3bbr0fn25so6.webp","","ACTIVE","Jewelry,Necklace","https://salmabehery.com/en/product/all/Africa--Egyptian-necklace-","Global","2026-03-06T15:45:35.309Z","2026-05-09T22:12:30.422Z","","","",""
"Sky-paint-stainless-steel-necklace-","Sky Paint Stainless Steel Necklace","<p>stainless steel&nbsp;</p>","Sky Paint Stainless Steel Necklace","Premium jewelry piece.",,,,,,,"",5,"250","150","","https://assets.wuiltstore.com/cmmdcjgt80ewt01df3pa63xqz_7yau1a7zbkxnvj9ef4n9r13tvzsw.webp","","ACTIVE","Jewelry,Necklace","https://salmabehery.com/en/product/all/Sky-paint-stainless-steel-necklace-","Global","2026-03-06T15:45:35.309Z","2026-05-09T22:08:49.782Z","","","",""
"y-necklace-with-long-stars-charm","Y necklace with long stars charm ","<p>The necklace stainless steel&nbsp;</p>
<p>the long charm gold plated&nbsp;</p>","Y necklace with long stars charm ","",,,,,,,"",2,"400","200","","https://assets.wuiltstore.com/cmow4ii6x0c4k01ln5nh20e3z_IMG_6510.webp https://assets.wuiltstore.com/cmow4ihrh0c4i01ln3u8eaj3v_IMG_6511.webp","","ACTIVE","new collection,Jewelry,Necklace","https://salmabehery.com/en/product/all/y-necklace-with-long-stars-charm","Global","2026-05-08T02:34:44.538Z","2026-05-09T22:08:19.131Z","","","",""
"smile-face-gold-plated-ring","Smile face gold plated ring ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Smile face gold plated ring ","",,,,,,,"",1,"300","200","","https://assets.wuiltstore.com/cmoyp2ol80fz801ln6ion6tgg_IMG_6788.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/smile-face-gold-plated-ring","Global","2026-05-09T21:45:48.871Z","2026-05-09T21:45:48.909Z","","","",""
"eye-with-colors-small-stones-gold-plated","Eye with colors small stones - gold plated ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Eye with colors small stones - gold plated ","",,,,,,,"",2,"350","200","","https://assets.wuiltstore.com/cmoyhh8er0fcg01ln7oc06paj_IMG_6764.webp https://assets.wuiltstore.com/cmoyhhcue0fck01lnddwx45yv_IMG_6766.webp https://assets.wuiltstore.com/cmoyhhao70fci01ln9q55h996_IMG_6768.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/eye-with-colors-small-stones-gold-plated","Global","2026-05-09T18:13:11.367Z","2026-05-09T21:43:53.145Z","","","",""
"blue-eyes-gold-plated-ring-size-16","Blue eyes gold plated ring - size 16","<p>Gold plated&nbsp;</p>
<p>size 6&nbsp;</p>","Blue eyes gold plated ring - size 16","",,,,,,,"",1,"300","200","","https://assets.wuiltstore.com/cmoyosv700fwo01lnbc130tdy_IMG_6802.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/blue-eyes-gold-plated-ring-size-16","Global","2026-05-09T21:38:11.614Z","2026-05-09T21:43:12.597Z","","","",""
"gold-plated-ring-with-big-heart-charm","Gold plated ring with big heart charm","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Gold plated ring with big heart charm","",,,,,,,"",0,"300","200","","https://assets.wuiltstore.com/cmoyoyttv0fyg01ln1ei8ckoy_IMG_6799.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/gold-plated-ring-with-big-heart-charm","Global","2026-05-09T21:42:49.153Z","2026-05-09T21:42:49.189Z","","","",""
"light-pink-tulips-earrings","Light pink tulips earrings ","<p>Stainless steel&nbsp;</p>","Light pink tulips earrings ","",,,,,,,"",2,"400","200","","https://assets.wuiltstore.com/cmoyguo760fai01lnc77md0aa_IMG_6718.webp","","ACTIVE","new collection,Jewelry,Extra things","https://salmabehery.com/en/product/all/light-pink-tulips-earrings","Global","2026-05-09T17:55:38.551Z","2026-05-09T17:55:38.618Z","","","",""
"baby-blue-flowers-earrings","Baby blue flowers earrings ","<p>Stainless steel&nbsp;</p>","Baby blue flowers earrings ","",,,,,,,"","Available","400","200","","https://assets.wuiltstore.com/cmoygrzi50fa601ln0bsldkbn_IMG_6707.webp","","ACTIVE","new collection,Jewelry,Extra things","https://salmabehery.com/en/product/all/baby-blue-flowers-earrings","Global","2026-05-09T17:53:32.881Z","2026-05-09T17:53:32.921Z","","","",""
"red-tulips-earrings","Red tulips earrings ","<p>Gold plated&nbsp;</p>","Red tulips earrings ","",,,,,,,"",4,"400","200","","https://assets.wuiltstore.com/cmoygqgcv0fa401lnavmrdz2i_IMG_6719.webp","","ACTIVE","new collection,Jewelry,Extra things","https://salmabehery.com/en/product/all/red-tulips-earrings","Global","2026-05-09T17:52:21.966Z","2026-05-09T17:52:22.009Z","","","",""
"pink-butterfly-earrings","Pink Butterfly earrings ","<p>Stainless steel&nbsp;</p>","Pink Butterfly earrings ","",,,,,,,"",4,"400","200","","https://assets.wuiltstore.com/cmoygoroi0fa101ln14vgh95r_IMG_6717.webp","","ACTIVE","Jewelry,Extra things","https://salmabehery.com/en/product/all/pink-butterfly-earrings","Global","2026-05-09T17:51:03.252Z","2026-05-09T17:51:03.296Z","","","",""
"pink-baby-blue-flower-earrings","Pink flower earrings ","<p>Stainless steel&nbsp;</p>","Pink & baby blue flower earrings ","",,,,,,,"",2,"400","200","","https://assets.wuiltstore.com/cmoyghctz0f9a01lnchdxb3lm_IMG_6704.webp","","ACTIVE","Jewelry,Extra things","https://salmabehery.com/en/product/all/pink-baby-blue-flower-earrings","Global","2026-05-06T23:58:21.317Z","2026-05-09T17:45:35.391Z","","","",""
"tulips-rings","Tulips rings","<p>Stainless steel&nbsp;</p>","Tulips rings","",,,,,,,"",3,"400","200","","https://assets.wuiltstore.com/cmoyggdh60f9801lnfzd1ek34_IMG_6721.webp","","ACTIVE","new collection,Jewelry,Extra things","https://salmabehery.com/en/product/all/tulips-rings","Global","2026-05-08T02:29:58.319Z","2026-05-09T17:44:38.883Z","","","",""
"5-stackable-rings-gold-plated-sun-design","5 stackable rings-gold plated( بدون قفل ) ( الخواتم منفصله)","<p>Gold plated&nbsp;</p>","5 stackable rings-gold plated- sun design ","","size","7",,,,,"",1,"400","340","","https://assets.wuiltstore.com/cmmzb7i8c02tb01m14qpkho2y_IMG_3591.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/5-stackable-rings-gold-plated-sun-design","Global","2026-03-20T22:45:51.739Z","2026-05-09T17:28:46.053Z","","","",""
"5-stackable-rings-gold-plated-sun-design",,,,,"size","6",,,,,"",0,"400","340","","","","","","https://salmabehery.com/en/product/all/5-stackable-rings-gold-plated-sun-design","",,,"","","",""
"3-lines-stainless-steel-ring","3 Lines Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","3 Lines Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",1,"355","150","","https://assets.wuiltstore.com/cmmdci1qe0evs01df9whxg48y_4luhu9y7wkh4e9njlx2lxm1v0k6d.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/3-lines-stainless-steel-ring","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:28:18.718Z","","","",""
"Seahorse-stainless-steel-ring","Seahorse Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","Seahorse Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",0,"185","150","","https://assets.wuiltstore.com/cmmdcmfik0eyz01dfd4c28vul_54j8p8ginu7btihbkp3aj083ou8i.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Seahorse-stainless-steel-ring","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:26:42.406Z","","","",""
"golden-waves-modern-ring","golden waves modern ring","<p>stainless steel&nbsp;</p>
<p>free size&nbsp;</p>","golden waves modern ring","",,,,,,,"",6,"300","150","","https://assets.wuiltstore.com/cmms7tbhz01jt01krh10o4lre_IMG_3409_5B1_5D.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/golden-waves-modern-ring","Global","2026-03-15T23:36:38.270Z","2026-05-09T17:25:53.137Z","","","",""
"vintage-big-ring-with-white-stone","Vintage big ring with white stone","<p>Free size</p>
<p>stainle steel&nbsp;</p>","Vintage big ring with white stone","",,,,,,,"",0,"250","150","","https://assets.wuiltstore.com/cmo93lj53027w01oc75i70ilf_IMG_5395.webp https://assets.wuiltstore.com/cmo93lh4v029001nd2br9cypr_IMG_5401.webp https://assets.wuiltstore.com/cmo93lijo028s01of6gkxfxe1_IMG_5400.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/vintage-big-ring-with-white-stone","Global","2026-04-21T23:50:18.562Z","2026-05-09T17:25:33.758Z","","","",""
"8-crystals-stainless-steel-hand-chain---silver-","8 Crystals Stainless Steel Hand Chain   Silver","<li>Stainless steel&nbsp;</li>","8 Crystals Stainless Steel Hand Chain   Silver","Premium jewelry piece.",,,,,,,"",1,"400","300","","https://assets.wuiltstore.com/cmmdcv9tt0f5301dfejiqbesd_wed564izd6oo2re35j6addao012l.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/8-crystals-stainless-steel-hand-chain---silver-","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:24:04.557Z","","","",""
"Chunky-bangle---2-curves---gold-","Chunky Bangle   2 Curves   Gold","<p>gold plated</p>","Chunky Bangle   2 Curves   Gold","Premium jewelry piece.",,,,,,,"",3,"250","180","","https://assets.wuiltstore.com/cmmdcvvfy0f5f01df1x9ihoqf_vfgsouhu4ntmrr1fn1e23a5w1au9.webp","","ACTIVE","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Chunky-bangle---2-curves---gold-","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:23:40.614Z","","","",""
"Little-curve-chunky-bangle--silver-","Little Curve Chunky Bangle  Silver","<p>gold plated</p>","Little Curve Chunky Bangle  Silver","Premium jewelry piece.",,,,,,,"",0,"250","180","","https://assets.wuiltstore.com/cmmdcwk2f0f5t01df9bjff9kp_6xqzc58r6b74m746ptsmeqczy0qn.webp","","DRAFT","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Little-curve-chunky-bangle--silver-","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:23:25.223Z","","","",""
"Chunky-bangle--medium-size---gold-","Chunky Bangle  Medium Size   Gold","<div>gold plated.</div>","Chunky Bangle  Medium Size   Gold","Premium jewelry piece.",,,,,,,"",4,"250","180","","https://assets.wuiltstore.com/cmmdcvz3c0f5h01dfcogrhnbk_tj7rxjgu78c7rvtmh83v2hqzmibg.webp","","ACTIVE","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Chunky-bangle--medium-size---gold-","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:23:15.536Z","","","",""
"Big-chunky-bangle--gold-","Big Chunky Bangle  Gold","<p>gold plated</p>","Big Chunky Bangle  Gold","Premium jewelry piece.",,,,,,,"",8,"250","180","","https://assets.wuiltstore.com/cmmdcw2t90f5j01df8hfif0ib_884xi76ln2byc90ctgx3vep3pn6m.webp","","ACTIVE","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Big-chunky-bangle--gold-","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:23:05.329Z","","","",""
"Curve-chunky-bangle--gold-","Curve Chunky Bangle  Gold","<p>gold plated</p>","Curve Chunky Bangle  Gold","Premium jewelry piece.",,,,,,,"",1,"250","180","","https://assets.wuiltstore.com/cmmdcwcps0f5p01dfhtx36ih7_q2toblyhoc4beqefzu3zt06cn7ky.webp","","ACTIVE","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Curve-chunky-bangle--gold-","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:22:53.046Z","","","",""
"stainless-steel-hand-chain-flowers-silver","Stainless steel hand chain - flowers - silver","<p>stainless steel</p>","Stainless steel hand chain - flowers - silver","",,,,,,,"",3,"650","300","","https://assets.wuiltstore.com/cmnxx81uv04sa01n00qecbhym_IMG_0258.webp https://assets.wuiltstore.com/cmnxx870x04sc01n0cb8v42m1_IMG_0259.webp https://assets.wuiltstore.com/cmnxx82kt04ow01lzanq87bvr_IMG_0260.webp https://assets.wuiltstore.com/cmnxx82bz04n201l7giya2zzu_IMG_0261.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/stainless-steel-hand-chain-flowers-silver","Global","2026-03-10T07:08:01.371Z","2026-05-09T17:19:22.902Z","","","",""
"⁨‫سلسه-اول-حب-كان-في-بلدي⁩","سلسه (اول حب كان في بلدي)","<p>سلسله استانلس ستيل</p>","سلسه (اول حب كان في بلدي)","",,,,,,,"",2,"400","190","","https://assets.wuiltstore.com/cmo0fod7o05ne01lzbv7rceru_IMG_4677.webp https://assets.wuiltstore.com/cmo0fod2g05rz01n0ci2w569p_IMG_4678.webp","","ACTIVE","Jewelry,Necklace","https://salmabehery.com/en/product/all/⁨‫سلسه-اول-حب-كان-في-بلدي⁩","Global","2026-03-15T22:24:10.437Z","2026-05-09T17:19:00.668Z","","","",""
"rapunzel-ring-pink-purple-stone","Rapunzel ring pink purple stone","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Rapunzel ring pink purple stone","",,,,,,,"",7,"420","250","","https://assets.wuiltstore.com/cmook8qb8002j01lucwm2hk6r_IMG_6071.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/rapunzel-ring-pink-purple-stone","Global","2026-05-02T19:32:50.875Z","2026-05-09T17:17:28.690Z","","","",""
"watch-ring-2","Watch ring 2","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Watch ring 2","",,,,,,,"",1,"550","300","","https://assets.wuiltstore.com/cmow2c6rp0c1u01lnh0el26cn_IMG_6507.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/watch-ring-2","Global","2026-05-08T01:33:50.567Z","2026-05-09T17:16:43.369Z","","","",""
"watch-ring","Watch ring","<p>Gold plated&nbsp;</p>
<p>free size</p>","Watch ring","",,,,,,,"",1,"550","300","","https://assets.wuiltstore.com/cmow2a3kq0c1r01lnbc7qbf2n_IMG_6506.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/watch-ring","Global","2026-05-08T01:32:13.005Z","2026-05-09T17:16:30.063Z","","","",""
"green-heart-shaped-ring","Green Heart shaped ring","<p>Free size</p>
<p>gold plated</p>","Green Heart shaped ring","",,,,,,,"",3,"350","150","","https://assets.wuiltstore.com/cmo8xj7k5026201nd6udgai9i_IMG_5421.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/green-heart-shaped-ring","Global","2026-04-21T20:56:59.290Z","2026-05-09T17:16:03.986Z","","","",""
"Lace-Flower-Stainless-Steel-Ring","Lace Flower Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","Lace Flower Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",1,"400","150","","https://assets.wuiltstore.com/cmow4lpn60c4r01lnatfuhpam_IMG_6089.webp https://assets.wuiltstore.com/cmow4lu050c4v01ln9rwyc2zg_IMG_6090.webp https://assets.wuiltstore.com/cmow4lrrt0c4t01ln0m7b1hbv_IMG_6091.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Lace-Flower-Stainless-Steel-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:15:20.906Z","","","",""
"lady-bug-with-charm","Lady bug with charm 🐞","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Lady bug with charm 🐞","",,,,,,,"",12,"280","150","","https://assets.wuiltstore.com/cmosp53s805sb01ln1qvv21oq_IMG_6404.webp https://assets.wuiltstore.com/cmosp55i105sd01lnf4p798kq_IMG_6400.webp https://assets.wuiltstore.com/cmosp57mg05sf01lnfrq1bwdi_IMG_6411.webp https://assets.wuiltstore.com/cmosp58lu05sh01ln2mfv7er6_IMG_6355.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/lady-bug-with-charm","Global","2026-05-05T03:49:19.451Z","2026-05-09T17:15:07.731Z","","","",""
"Bracelet-ية-الكرسي-stainless-steel","Bracelet ية الكرسي Stainless Steel","<li>Stainless steel&nbsp;</li>","Bracelet ية الكرسي Stainless Steel","Premium jewelry piece.","color","gold",,,,,"",3,"500","250","","https://assets.wuiltstore.com/cmmdcj0mq0ewi01dffci6adny_dejfwuamnzzudax1apo9viemyv5a.webp","","ACTIVE","","https://salmabehery.com/en/product/all/Bracelet-ية-الكرسي-stainless-steel","Global","2026-03-06T15:45:35.309Z","2026-05-09T17:14:51.861Z","","","",""
